Augustana Faculty,AUACC,AUACC311,Introductory Accounting
Augustana Faculty,AUACC,AUACC322,Managerial Accounting
Augustana Faculty,AUART,AUART100,Introduction to Art History and Visual Culture
Augustana Faculty,AUART,AUART102,Introduction to the History of Art II
Augustana Faculty,AUART,AUART103,Caves to Skyscrapers: The Built Environment
Augustana Faculty,AUART,AUART111,Studio Foundation I
Augustana Faculty,AUART,AUART112,Studio Foundation II - 3-D and Colour Theory
Augustana Faculty,AUART,AUART215,Sculpture I
Augustana Faculty,AUART,AUART220,Modern Life, Modern Art
Augustana Faculty,AUART,AUART223,Canadian Art
Augustana Faculty,AUART,AUART224,Art and Its Histories
Augustana Faculty,AUART,AUART225,Photography: History and Theory
Augustana Faculty,AUART,AUART231,Drawing I
Augustana Faculty,AUART,AUART232,Drawing II
Augustana Faculty,AUART,AUART260,Selected Topics in Art History
Augustana Faculty,AUART,AUART261,Selected Topics in Art History
Augustana Faculty,AUART,AUART262,Selected Topics in Art History
Augustana Faculty,AUART,AUART271,Painting I
Augustana Faculty,AUART,AUART272,Painting II
Augustana Faculty,AUART,AUART281,Sex, Gender and Art
Augustana Faculty,AUART,AUART289,Studies in Visual Culture
Augustana Faculty,AUART,AUART298,Selected Topics in Art Studio
Augustana Faculty,AUART,AUART331,Drawing III
Augustana Faculty,AUART,AUART371,Painting III
Augustana Faculty,AUART,AUART381,Selected Topics in Art History
Augustana Faculty,AUART,AUART382,Selected Topics in Art History
Augustana Faculty,AUART,AUART411,Visual Explorations
Augustana Faculty,AUART,AUART421,Art History Stream Capstone
Augustana Faculty,AUART,AUART490,Directed Project in Visual Explorations
Augustana Faculty,AUBIO,AUBIO108,Introduction to Marine Biology
Augustana Faculty,AUBIO,AUBIO111,Integrative Biology I
Augustana Faculty,AUBIO,AUBIO112,Integrative Biology II
Augustana Faculty,AUBIO,AUBIO219,Research Experience in Biology
Augustana Faculty,AUBIO,AUBIO230,Molecular Cell Biology
Augustana Faculty,AUBIO,AUBIO253,Ecological Interactions
Augustana Faculty,AUBIO,AUBIO260,Principles of Genetics
Augustana Faculty,AUBIO,AUBIO274,Microbiology
Augustana Faculty,AUBIO,AUBIO280,Biochemistry: Proteins, Enzymes and Energy
Augustana Faculty,AUBIO,AUBIO315,Advanced Biological Analysis
Augustana Faculty,AUBIO,AUBIO318,Directed Reading I
Augustana Faculty,AUBIO,AUBIO319,Directed Studies I
Augustana Faculty,AUBIO,AUBIO323,Plant Biology
Augustana Faculty,AUBIO,AUBIO334,Field Studies in Environmental Science and Ecology
Augustana Faculty,AUBIO,AUBIO338,Developmental Biology
Augustana Faculty,AUBIO,AUBIO350,Conservation Theory and Biodiversity in Tropical Systems
Augustana Faculty,AUBIO,AUBIO351,Biogeography
Augustana Faculty,AUBIO,AUBIO354,Freshwater Ecology and Management
Augustana Faculty,AUBIO,AUBIO355,Ecological Dynamics
Augustana Faculty,AUBIO,AUBIO371,Immunology
Augustana Faculty,AUBIO,AUBIO381,Biochemistry: Intermediary Metabolism
Augustana Faculty,AUBIO,AUBIO389,Molecular Biology of the Gene
Augustana Faculty,AUBIO,AUBIO390,Animal Behaviour
Augustana Faculty,AUBIO,AUBIO394,Comparative Invertebrate Zoology
Augustana Faculty,AUBIO,AUBIO395,Vertebrate Form and Function
Augustana Faculty,AUBIO,AUBIO411,History and Theory of Biology
Augustana Faculty,AUBIO,AUBIO412,Selected Topics in Biological Science
Augustana Faculty,AUBIO,AUBIO413,Advanced Topics in Evolutionary Ecology
Augustana Faculty,AUBIO,AUBIO418,Directed Reading II
Augustana Faculty,AUBIO,AUBIO419,Directed Studies II
Augustana Faculty,AUBIO,AUBIO438,Evolutionary Development Biology
Augustana Faculty,AUBIO,AUBIO459,Field Studies in Tropical Ecology and Conservation
Augustana Faculty,AUBIO,AUBIO475,Pathogenic Mechanisms of Microorganisms
Augustana Faculty,AUCHE,AUCHE110,General Chemistry I
Augustana Faculty,AUCHE,AUCHE112,General Chemistry II
Augustana Faculty,AUCHE,AUCHE211,Communicating Chemistry
Augustana Faculty,AUCHE,AUCHE220,Analytical Chemistry
Augustana Faculty,AUCHE,AUCHE222,Instrumental Analysis
Augustana Faculty,AUCHE,AUCHE230,Inorganic Chemistry I
Augustana Faculty,AUCHE,AUCHE232,Inorganic Chemistry II
Augustana Faculty,AUCHE,AUCHE250,Organic Chemistry I
Augustana Faculty,AUCHE,AUCHE252,Organic Chemistry II
Augustana Faculty,AUCHE,AUCHE277,Introduction to Relativity and Quantum Mechanics
Augustana Faculty,AUCHE,AUCHE279,Physical Chemistry
Augustana Faculty,AUCHE,AUCHE280,Biochemistry: Proteins, Enzymes and Energy
Augustana Faculty,AUCHE,AUCHE320,Analytical Chemistry III
Augustana Faculty,AUCHE,AUCHE324,Research Techniques in Analytical Chemistry
Augustana Faculty,AUCHE,AUCHE330,Organometallic Chemistry
Augustana Faculty,AUCHE,AUCHE341,Introduction to Environmental Chemistry
Augustana Faculty,AUCHE,AUCHE350,Organic Chemistry III
Augustana Faculty,AUCHE,AUCHE360,Advanced Synthetic Laboratory
Augustana Faculty,AUCHE,AUCHE377,Quantum Chemistry II
Augustana Faculty,AUCHE,AUCHE381,Biochemistry: Intermediary Metabolism
Augustana Faculty,AUCHE,AUCHE390,Senior Project I
Augustana Faculty,AUCHE,AUCHE392,Senior Project II
Augustana Faculty,AUCHE,AUCHE397,Directed Reading I
Augustana Faculty,AUCHE,AUCHE405,Selected Topics in Chemistry
Augustana Faculty,AUCHE,AUCHE410A,Senior Mentorship Experience
Augustana Faculty,AUCHE,AUCHE410B,Senior Mentorship Experience
Augustana Faculty,AUCHE,AUCHE450,Enzymes and Enzyme Mechanisms
Augustana Faculty,AUCHE,AUCHE490,Advanced Project I
Augustana Faculty,AUCHE,AUCHE492,Advanced Project II
Augustana Faculty,AUCHE,AUCHE497,Directed Reading III
Augustana Faculty,AUCLA,AUCLA100,Greek Civilization
Augustana Faculty,AUCLA,AUCLA102,Greek and Roman Mythology
Augustana Faculty,AUCLA,AUCLA294,Selected Topics in Classical Studies Tour
Augustana Faculty,AUCLA,AUCLA301,Directed Reading I
Augustana Faculty,AUCRI,AUCRI160,Introduction to Crime, Correction, and Community
Augustana Faculty,AUCRI,AUCRI200,Young Offenders and the Law
Augustana Faculty,AUCRI,AUCRI222,Canadian Social Issues
Augustana Faculty,AUCRI,AUCRI224,Studies in Deviant Behaviour
Augustana Faculty,AUCRI,AUCRI225,Criminology: A Canadian Perspective
